channel	labels	temperature	set	sample_name	subtype	sample_name_machine	state	sample_id
128N	126-130N	50	Set2	REH	ETV6.RUNX1	REH	pre.pro.B	Set2_tmt16plex_128N
128C	126-130N	53	Set2	REH	ETV6.RUNX1	REH	pre.pro.B	Set2_tmt16plex_128C
129N	126-130N	56	Set2	REH	ETV6.RUNX1	REH	pre.pro.B	Set2_tmt16plex_129N
129C	126-130N	59	Set2	REH	ETV6.RUNX1	REH	pre.pro.B	Set2_tmt16plex_129C
130N	126-130N	63	Set2	REH	ETV6.RUNX1	REH	pre.pro.B	Set2_tmt16plex_130N
130C	134-130C	63	Set2	P30-OHKUBO	MEF2D.HNRNPUL1	P30_OHKUBO	early.pre.B	Set2_tmt16plex_130C
131N	134-130C	59	Set2	P30-OHKUBO	MEF2D.HNRNPUL1	P30_OHKUBO	early.pre.B	Set2_tmt16plex_131N
131C	134-130C	56	Set2	P30-OHKUBO	MEF2D.HNRNPUL1	P30_OHKUBO	early.pre.B	Set2_tmt16plex_131C
132N	134-130C	53	Set2	P30-OHKUBO	MEF2D.HNRNPUL1	P30_OHKUBO	early.pre.B	Set2_tmt16plex_132N
132C	134-130C	50	Set2	P30-OHKUBO	MEF2D.HNRNPUL1	P30_OHKUBO	early.pre.B	Set2_tmt16plex_132C
133N	134-130C	47	Set2	P30-OHKUBO	MEF2D.HNRNPUL1	P30_OHKUBO	early.pre.B	Set2_tmt16plex_133N
133C	134-130C	44	Set2	P30-OHKUBO	MEF2D.HNRNPUL1	P30_OHKUBO	early.pre.B	Set2_tmt16plex_133C
134N	134-130C	41	Set2	P30-OHKUBO	MEF2D.HNRNPUL1	P30_OHKUBO	early.pre.B	Set2_tmt16plex_134N
126	126-130N	41	Set3	KASUMI-9	MEF2D.HNRNPUL1	KASUMI_9	early.pre.B	Set3_tmt16plex_126
127N	126-130N	44	Set3	KASUMI-9	MEF2D.HNRNPUL1	KASUMI_9	early.pre.B	Set3_tmt16plex_127N
127C	126-130N	47	Set3	KASUMI-9	MEF2D.HNRNPUL1	KASUMI_9	early.pre.B	Set3_tmt16plex_127C
128N	126-130N	50	Set3	KASUMI-9	MEF2D.HNRNPUL1	KASUMI_9	early.pre.B	Set3_tmt16plex_128N
128C	126-130N	53	Set3	KASUMI-9	MEF2D.HNRNPUL1	KASUMI_9	early.pre.B	Set3_tmt16plex_128C
129N	126-130N	56	Set3	KASUMI-9	MEF2D.HNRNPUL1	KASUMI_9	early.pre.B	Set3_tmt16plex_129N
129C	126-130N	59	Set3	KASUMI-9	MEF2D.HNRNPUL1	KASUMI_9	early.pre.B	Set3_tmt16plex_129C
130N	126-130N	63	Set3	KASUMI-9	MEF2D.HNRNPUL1	KASUMI_9	early.pre.B	Set3_tmt16plex_130N
130C	134-130C	63	Set3	SEM	KMT2A.AFF1	SEM	pre.B.other	Set3_tmt16plex_130C
131N	134-130C	59	Set3	SEM	KMT2A.AFF1	SEM	pre.B.other	Set3_tmt16plex_131N
131C	134-130C	56	Set3	SEM	KMT2A.AFF1	SEM	pre.B.other	Set3_tmt16plex_131C
132N	134-130C	53	Set3	SEM	KMT2A.AFF1	SEM	pre.B.other	Set3_tmt16plex_132N
132C	134-130C	50	Set3	SEM	KMT2A.AFF1	SEM	pre.B.other	Set3_tmt16plex_132C
133N	134-130C	47	Set3	SEM	KMT2A.AFF1	SEM	pre.B.other	Set3_tmt16plex_133N
133C	134-130C	44	Set3	SEM	KMT2A.AFF1	SEM	pre.B.other	Set3_tmt16plex_133C
134N	134-130C	41	Set3	SEM	KMT2A.AFF1	SEM	pre.B.other	Set3_tmt16plex_134N
126	126-130N	41	Set4	COG-LL-355h	ETV6.RUNX1	COG_355	pro.B	Set4_tmt16plex_126
127N	126-130N	44	Set4	COG-LL-355h	ETV6.RUNX1	COG_355	pro.B	Set4_tmt16plex_127N
127C	126-130N	47	Set4	COG-LL-355h	ETV6.RUNX1	COG_355	pro.B	Set4_tmt16plex_127C
128N	126-130N	50	Set4	COG-LL-355h	ETV6.RUNX1	COG_355	pro.B	Set4_tmt16plex_128N
128C	126-130N	53	Set4	COG-LL-355h	ETV6.RUNX1	COG_355	pro.B	Set4_tmt16plex_128C
129N	126-130N	56	Set4	COG-LL-355h	ETV6.RUNX1	COG_355	pro.B	Set4_tmt16plex_129N
129C	126-130N	59	Set4	COG-LL-355h	ETV6.RUNX1	COG_355	pro.B	Set4_tmt16plex_129C
130N	126-130N	63	Set4	COG-LL-355h	ETV6.RUNX1	COG_355	pro.B	Set4_tmt16plex_130N
130C	134-130C	63	Set4	697	TCF3.PBX1	697	pro.B	Set4_tmt16plex_130C
131N	134-130C	59	Set4	697	TCF3.PBX1	697	pro.B	Set4_tmt16plex_131N
131C	134-130C	56	Set4	697	TCF3.PBX1	697	pro.B	Set4_tmt16plex_131C
132N	134-130C	53	Set4	697	TCF3.PBX1	697	pro.B	Set4_tmt16plex_132N
132C	134-130C	50	Set4	697	TCF3.PBX1	697	pro.B	Set4_tmt16plex_132C
133N	134-130C	47	Set4	697	TCF3.PBX1	697	pro.B	Set4_tmt16plex_133N
133C	134-130C	44	Set4	697	TCF3.PBX1	697	pro.B	Set4_tmt16plex_133C
134N	134-130C	41	Set4	697	TCF3.PBX1	697	pro.B	Set4_tmt16plex_134N
126	126-130N	41	Set5	KASUMI-2	TCF3.PBX1	KASUMI_2	pro.B	Set5_tmt16plex_126
127N	126-130N	44	Set5	KASUMI-2	TCF3.PBX1	KASUMI_2	pro.B	Set5_tmt16plex_127N
127C	126-130N	47	Set5	KASUMI-2	TCF3.PBX1	KASUMI_2	pro.B	Set5_tmt16plex_127C
128N	126-130N	50	Set5	KASUMI-2	TCF3.PBX1	KASUMI_2	pro.B	Set5_tmt16plex_128N
128C	126-130N	53	Set5	KASUMI-2	TCF3.PBX1	KASUMI_2	pro.B	Set5_tmt16plex_128C
129N	126-130N	56	Set5	KASUMI-2	TCF3.PBX1	KASUMI_2	pro.B	Set5_tmt16plex_129N
129C	126-130N	59	Set5	KASUMI-2	TCF3.PBX1	KASUMI_2	pro.B	Set5_tmt16plex_129C
130N	126-130N	63	Set5	KASUMI-2	TCF3.PBX1	KASUMI_2	pro.B	Set5_tmt16plex_130N
130C	134-130C	63	Set5	ALL-PO	KMT2A.AFF1	ALL_PO	pre.B.other	Set5_tmt16plex_130C
131N	134-130C	59	Set5	ALL-PO	KMT2A.AFF1	ALL_PO	pre.B.other	Set5_tmt16plex_131N
131C	134-130C	56	Set5	ALL-PO	KMT2A.AFF1	ALL_PO	pre.B.other	Set5_tmt16plex_131C
132N	134-130C	53	Set5	ALL-PO	KMT2A.AFF1	ALL_PO	pre.B.other	Set5_tmt16plex_132N
132C	134-130C	50	Set5	ALL-PO	KMT2A.AFF1	ALL_PO	pre.B.other	Set5_tmt16plex_132C
133N	134-130C	47	Set5	ALL-PO	KMT2A.AFF1	ALL_PO	pre.B.other	Set5_tmt16plex_133N
133C	134-130C	44	Set5	ALL-PO	KMT2A.AFF1	ALL_PO	pre.B.other	Set5_tmt16plex_133C
134N	134-130C	41	Set5	ALL-PO	KMT2A.AFF1	ALL_PO	pre.B.other	Set5_tmt16plex_134N
126	126-130N	41	Set6	SUP-B15	BCR.ABL1	SUP_B15	pro.B	Set6_tmt16plex_126
127N	126-130N	44	Set6	SUP-B15	BCR.ABL1	SUP_B15	pro.B	Set6_tmt16plex_127N
127C	126-130N	47	Set6	SUP-B15	BCR.ABL1	SUP_B15	pro.B	Set6_tmt16plex_127C
